No,Instruction,Type,Distance,A_Speed,B_Speed,C_Speed,D_Speed,Limit,AddTime_A,AddTime_B,AddTime_C,AddTime_D,Lat,Long
m,Warning - Stop. 600m.  Control Dot on pole and road.,v,82.65,37,43,49,54,60,0,0,0,0,29.54280,30.28119
f,3-Way STOP. Carry straight on,a,83.25,36,41,47,52,60,0,0,0,0,0.00000,0.00000
f,STOP.  3-Way Stop. Carry straight on.,a,83.62,34,39,44,49,60,0,0,0,0,0.00000,0.00000
f,"Madrassa An-Noor, for the Blind",a,83.80,46,55,64,72,80,0,0,0,0,0.00000,0.00000
m,Warning - Side road junction {Right}.  Control.,v,85.52,46,55,64,72,80,0,0,0,0,29.52709,30.25944
l,60 Speed limit,a,86.00,35,40,45,50,60,0,0,0,0,0.00000,0.00000
o,Bear LEFT.  District Drive.{ 7Km Stone}.  START of OPEN SECTION.,a,86.09,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,R103 Howick 6 {Right}. Turn RIGHT. Wilson Road,a,86.35,30,30,30,30,60,0,0,0,0,0.00000,0.00000
l,STOP Turn RIGHT.,a,87.08,30,35,40,45,60,0,0,0,0,0.00000,0.00000
l,STOP carry straight on.,a,87.22,30,35,40,45,60,0,0,0,0,0.00000,0.00000
o,3 Way Stop.   Be carefull of speed bumps ahead .,a,87.38,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Traffic light carry straight on.,a,88.94,30,30,30,30,60,0,0,0,0,0.00000,0.00000
l,60 Speed limit [Camera],a,89.13,30,35,40,45,60,0,0,0,0,0.00000,0.00000
l,Traffic Light. Carry straight on.,a,90.48,30,35,40,45,60,0,0,0,0,0.00000,0.00000
o,Pietermaritzburg Recommended Route.  Prepare to turn left,a,90.99,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Bear left,a,91.05,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Yield on road. Turn LEFT,a,91.11,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Traffic Light.  Straight on.,a,92.39,30,30,30,30,60,0,0,0,0,0.00000,0.00000
f,0km Stone.  START of REGULARITY.,a,93.18,46,55,64,72,80,0,0,0,0,0.00000,0.00000
m,Control. Prohibition - Stopping. Dot on Pole and Centre Line.,v,98.45,46,55,64,72,80,0,0,0,0,29.47938,30.17652
f,R103 Lions River {Straight} / Curry's Post{ Right}.  START of OPEN SECTION.  Be careful of bad and bumpy road surface ahead.,a,99.14,42,49,57,64,80,0,0,0,0,0.00000,0.00000
o,Overhead Wires.  Be careful of uneven road surface in places and speed bumps. ,a,108.55,35,35,35,35,80,0,0,0,0,0.00000,0.00000
f,Bridge.  Road is bumpy,a,109.13,39,45,52,58,80,0,0,0,0,0.00000,0.00000
f,Hum Lilly Lake House.  START of REGULARITY.{ SOR Board},a,112.36,42,49,57,64,80,0,0,0,0,0.00000,0.00000
m,"Control @ Renaissance Furniture, Decor & Gifts.  Dot on Pole & Edge of Road",v,116.68,42,49,57,64,80,0,0,0,0,22.64496,30.05819
u,Bridge,a,118.54,38,45,54,62,80,0,0,0,0,0.00000,0.00000
m,Warning - Combined curves. Control. Dot on pole & Centre line,v,121.88,38,45,54,62,80,0,0,0,0,29.38383,30.02820
u,60 Speed limit.,a,122.05,34,40,47,54,60,0,0,0,0,0.00000,0.00000
d,Warning - Trucks,a,123.92,40,45,50,54,60,0,0,0,0,0.00000,0.00000
o,Rawdons {Left} [Accommodation] [Restaurant]  START of OPEN SECTION.{Bad road surface ahead},a,125.05,35,35,35,35,60,0,0,0,0,0.00000,0.00000
o,"Fork LEFT to R103 [Centre] Nottingham Road, Rosetta",a,127.28,35,35,35,35,60,0,0,0,0,0.00000,0.00000
o,Yield. Straight on. Stay on R103,a,127.35,35,35,35,35,60,0,0,0,0,0.00000,0.00000
o,60 Speed limit. Warning - Speed humps.  Be careful of potholes close to the road verge.,a,128.64,35,35,35,35,60,0,0,0,0,0.00000,0.00000
d,"Emergency Numbers / KZN RTI 0800339911, (033)3423972, Medical Services 10177. START of REGULARITY",a,129.24,40,45,50,54,60,0,0,0,0,0.00000,0.00000
d,Warning - Children,a,130.15,44,51,57,62,80,0,0,0,0,0.00000,0.00000
m,Control @ Westview Estate.  Dot on small pole& road center line and edge.,v,131.37,44,51,57,62,80,0,0,0,0,29.32756,29.99125
l,Power lines.  START of OPEN SECTION.,a,131.72,35,40,45,50,80,0,0,0,0,0.00000,0.00000
f,60 Speed limit.  START of REGULARITY.  Be carefulof uneven road surface and road edge up to Mooiriver.,a,134.82,34,39,44,49,60,0,0,0,0,0.00000,0.00000
f,80 Speed limit.  Be careful of bad road verge up to Mooi river.,a,135.16,39,45,52,58,80,0,0,0,0,0.00000,0.00000
m,Control [Umgeni Water] Mearns dam{ Left}. Dot on pole and road.,v,140.50,39,45,52,58,80,0,0,0,0,29.25499,29.98839
o,Mearns.{ Stone wing walls @ entrance}  START of OPEN SECTION.  Beware of pot holes!  ,a,142.27,35,35,35,35,80,0,0,0,0,0.00000,0.00000
o,{Left} [Truck] Mooi River Truck stop,a,144.05,35,35,35,35,80,0,0,0,0,0.00000,0.00000
o,Mpofana Licensing and Testing {Right}. Turn LEFT to Engen Filling station,a,144.55,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Engen Filling Station. Refuel Stop.  {First Pumps.  Donovan Carter 0721476868 Bheki mooi1stop@futurenet.co.za 081 744 6871},a,144.75,0,0,0,0,60,0,0,0,0,0.00000,0.00000
t,For refueling you have,a,144.75,0,0,0,0,0,10,15,15,20,0.00000,0.00000
o,After refueling continue in the same direction as before towards exit.,a,144.75,30,30,30,30,60,0,0,0,0,0.00000,0.00000
l,STOP. Turn LEFT to join the R103,a,144.87,35,40,45,50,60,0,0,0,0,0.00000,0.00000
o,Traffic Circle - Leave circle at 2nd exit,a,146.30,35,35,35,35,60,0,0,0,0,0.00000,0.00000
f,R103 Estcourt 29.  {START of REGULARITY?},a,146.73,41,48,55,62,80,0,0,0,0,0.00000,0.00000
d,{Right} (N3) [Toll Route] [Highway] 146.  START of REGULARITY.  Be careful of uneven road surface.,a,147.64,39,44,49,52,80,0,0,0,0,0.00000,0.00000
f,Farm road to left,a,151.96,45,53,62,70,80,0,0,0,0,0.00000,0.00000
m,R103 Estcourt 22. Control. Dot on pole and road,v,154.68,45,53,62,70,80,0,0,0,0,29.14045,29.99388
m,"Control at Entrance road to Microwave towers, Dot Fence post & yellow line",v,159.27,45,53,62,70,80,0,0,0,0,29.10647,29.97401
f,Tree.  Be careful of uneven road surface.,a,159.74,39,45,52,58,80,0,0,0,0,0.00000,0.00000
m,Control @ Warthoghill farm sign on right. Dot on road and Armco.,v,163.39,39,45,52,58,80,0,0,0,0,29.07524,29.95739
m,Control @ Concrete fence post. Dot on pole and center line.,v,168.58,39,45,52,58,80,0,0,0,0,29.05271,29.92100
l,"Warning - Farm animals.  Be carful of speed bumps, rumble strips and freeroaming animals.  START of OPEN SECTION",a,170.39,30,35,40,45,80,0,0,0,0,0.00000,0.00000
o,T-Junction. STOP. ( on road ) TURN RIGHT.,a,171.26,30,30,30,30,80,0,0,0,0,0.00000,0.00000
f,End of drainage channel.,a,171.60,46,55,64,72,80,0,0,0,0,0.00000,0.00000
l,60 speed limit. Beware of speed bumps.{ START of Open SECTION.},a,173.00,30,35,40,45,60,0,0,0,0,0.00000,0.00000
o,Shell service station. Stop and refuel.  {Centre pole - pump 3&4},a,175.09,0,0,0,0,60,0,0,0,0,0.00000,0.00000
t,For refueling you have             {Manager Maharhaj Taarique 076 524 3362},a,175.09,0,0,0,0,0,10,15,15,20,0.00000,0.00000
o,After refueling continue in the same direction as before.,a,175.09,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Traffic light TURN RIGHT into Conner street.,a,175.78,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Traffic light TURN RIGHT.  Victoria street.,a,175.98,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,New Apostolic church. Park this is your lunch stop.,a,176.13,0,0,0,0,60,0,0,0,0,0.00000,0.00000
t,For lunch you have ,a,176.13,0,0,0,0,0,40,45,50,55,0.00000,0.00000
o,After Lunch continue in the opposite direction as before.,a,176.13,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Traffic light TURN RIGHT into Conner street.  Carry straight on through 2 Traffic lights,a,176.26,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Turn LEFT at Blurock Quarry sign on opposite right hand corner. ,a,176.87,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Traffic light turn RIGHT into Harding street.,a,177.11,30,30,30,30,60,0,0,0,0,0.00000,0.00000
u,Bridge,a,177.42,32,37,44,51,60,0,0,0,0,0.00000,0.00000
u,Traffic light straight on.,a,177.88,32,37,44,51,60,0,0,0,0,0.00000,0.00000
f,Farm entrance with plastered brick wing wall.  Just before white wing walls on the right. SOR on road.  START of REGULARITY. {Max 72},a,180.36,46,55,64,72,80,0,0,0,0,0.00000,0.00000
m,Control at farm name board. Dot on pole and yellow line.,v,183.93,46,55,64,72,80,0,0,0,0,28.95102,28.84752
f,Overhead wires.  Be careful of uneven road surface in places.,a,184.68,46,55,64,72,100,0,0,0,0,0.00000,0.00000
m,Control just past gate on right. Dot on road and pole.,v,189.37,46,55,64,72,100,0,0,0,0,28.91874,29.80577
u,Bridge,a,189.66,39,47,55,64,100,0,0,0,0,0.00000,0.00000
m,Control under over head transmission lines. Dot on road and gate post.,v,195.44,39,47,55,64,100,0,0,0,0,28.87754,29.76686
o,T-Junction. STOP. ( on road ). Turn RIGHT to Colenso,a,195.96,25,25,25,25,100,0,0,0,0,0.00000,0.00000
f,Power Lines,a,196.65,43,51,59,66,100,0,0,0,0,0.00000,0.00000
f,Power Lines,a,198.61,50,60,70,80,100,0,0,0,0,0.00000,0.00000
m,Control @ Fence post + 2 stays. 2 Dots on road.,v,200.07,50,60,70,80,100,0,0,0,0,28.84561,29.79620
m,Control @ Fence post of farm stall fence. Dot on pole and road.,v,205.00,50,60,70,80,100,0,0,0,0,28.80707,29.81151
m,Control @ Steel fence post at exit of Clouston Cemetery layby. Dot on post and road.,v,208.10,50,60,70,80,100,0,0,0,0,28.78030,29.81204
m,Control @ Sign board R103 Ladysmith for people coming from Colenso. Dot on pole and road.,v,213.13,50,60,70,80,100,0,0,0,0,28.73757,29.81716
u,{Diagrammatic:- } Aditional Lane 500m,a,216.37,44,53,64,74,100,0,0,0,0,0.00000,0.00000
m,Control @ faded Keep Left Pass Right sign ,v,217.02,44,53,64,74,100,0,0,0,0,28.71056,29.79119
m,Control @ Green fence post with 2 stays Duck tape on pole.,v,223.62,44,53,64,74,100,0,0,0,0,28.67632,29.74032
l,"Warning Speed Bumps. START of OPEN SECTION. Be carefull of unmarked speed bumps,rumble strips and stray animals ",a,223.66,35,40,45,50,100,0,0,0,0,0.00000,0.00000
d,80 Speed limit. START of REGULARATY Stay on R103,a,234.29,47,55,62,68,80,0,0,0,0,0.00000,0.00000
f,100 Speed limit. ,a,237.38,49,58,69,78,100,0,0,0,0,0.00000,0.00000
m,Control @ Start of amco barrier before bridge . And warning Stop. Ducktape on amco.,v,238.48,49,58,69,78,100,0,0,0,0,,
l,60 Speed limit. START of OPEN SECTION,a,239.04,35,40,45,50,60,0,0,0,0,0.00000,0.00000
l,STOP T- Junction Turn Right This is Harrysmith Road,a,239.54,35,40,45,50,60,0,0,0,0,0.00000,0.00000
l,Warning Children .,a,240.49,35,40,45,50,60,0,0,0,0,0.00000,0.00000
t,For this you have ,a,241.70,0,0,0,0,0,10,15,15,20,0.00000,0.00000
o,After refueling  return to Francis road and Turn RIGHT into Francis road.,a,241.70,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,This is the Francis road intersection.  Refuel at Caltex service station on the opposite LEFT corner.{Caltex service station  Zaheer 0721786780 Manager} ,a,241.75,0,0,0,0,60,0,0,0,0,0.00000,0.00000
o,45 Speed limit.  Be carefull of speed bumps,a,241.91,30,30,30,30,45,0,0,0,0,0.00000,0.00000
o,Traffic light. Carry straight on. Be carefull of Speed bumps.,a,242.21,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,60 Speed limit. Move to Right hand Lane.,a,242.78,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,STOP T- Junction Turn RIGHT,a,242.91,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Turn LEFT into Osward Rapson to Newcastle.,a,243.49,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,T- Junction Turn LEFT.,a,243.77,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,STOP.  Carry straight on.,a,243.79,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Yield.  Traffic islands.  Carry Straight on.,a,243.94,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,{ Right} Department of Publicworks.  {Right} Department of Transport.      Move to Right Hand Lane.,a,244.29,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o, Turn RIGHT.  This is Fairclough road.,a,244.35,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,STOP (4 Way) Turn RIGHT into Shepston Rd,a,244.91,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Beware of BAD road serface.,a,245.69,25,25,25,25,60,0,0,0,0,0.00000,0.00000
o,N11 Ladysmith {Right} {Left} N11 Newcastle,a,246.16,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Traffic Light Turn LEFT on to the N11 to Newecastle.  Newcastle road.,a,246.19,35,35,35,35,60,0,0,0,0,0.00000,0.00000
l,N11 Newcastle 95.,a,246.43,35,40,45,50,60,0,0,0,0,0.00000,0.00000
d,Warning - Farm animals.,a,249.25,40,45,50,54,60,0,0,0,0,0.00000,0.00000
d,Warning - Combined Curves.{ 80 Speed limit - Covered}  {Max 72},a,255.04,39,44,49,52,60,0,0,0,0,0.00000,0.00000
d,N11 Newcastle 75,a,266.58,40,45,50,54,60,0,0,0,0,0.00000,0.00000
d,Double Farm gate on Left.  Farm entrance on Right. SOR on road.  START of REGULARATY,a,271.27,40,45,50,54,60,0,0,0,0,0.00000,0.00000
f,100 Speed limit.  Constrution End Thank You.,a,274.38,50,60,70,80,100,0,0,0,0,0.00000,0.00000
f,80 Speed limit. ,a,275.45,42,49,57,64,80,0,0,0,0,0.00000,0.00000
m,100 Speed limit. Control ? ,v,277.37,42,49,57,64,100,0,0,0,0,,
f,Warning. Falling Rocks.,a,279.51,50,60,70,80,100,0,0,0,0,0.00000,0.00000
m,"Control @ Larksend Farm. P&A Cronje, D&H Pinder. 30 Ducktape on Fence Pole at Cross road.",v,286.14,50,60,70,80,100,0,0,0,0,28.24048,29.96362
u,Diagrammatic: Aditional Lane 250m,a,287.54,41,49,59,68,100,0,0,0,0,0.00000,0.00000
m,"5,0 Km Plate.",v,291.86,41,49,59,68,100,0,0,0,0,,
m,Control @ 100 Speed limit. Duck tape on pole. ,v,296.89,41,49,59,68,100,0,0,0,0,28.15341,29.96942
f,Tree,a,298.83,50,60,70,80,100,0,0,0,0,0.00000,0.00000
l,80 Speed limit. ,a,299.32,35,40,45,50,80,0,0,0,0,0.00000,0.00000
f,100 Speed limit. ,a,300.06,50,60,70,80,100,0,0,0,0,0.00000,0.00000
f,{Diagrammatic:-}Traffic Movement affected by obstruction .,a,302.15,47,56,65,74,100,0,0,0,0,0.00000,0.00000
m,Control @ Danger plate at start of Amco Barrier. Duck tape on pole.,v,307.37,47,56,65,74,100,0,0,0,0,28.06157,29.97764
u,Bridge.,a,307.60,42,51,60,70,100,0,0,0,0,0.00000,0.00000
m,Control @ .  Traffic Movement affected by obstruction 250m . Duck tape on pole.,v,313.60,42,51,60,70,100,0,0,0,0,28.00652,29.97300
f,Overhead wires,a,314.75,49,58,69,78,100,0,0,0,0,0.00000,0.00000
m,Control @ 100 Speed limit. ,v,317.80,49,58,69,78,100,0,0,0,0,,
m,100  Speed limit.   Control.,v,323.65,49,58,69,78,100,0,0,0,0,,
f,"{Diagrammatic:-}No Trucks in Right hand Lane. For 2,1 Km.",a,323.95,48,57,67,76,100,0,0,0,0,0.00000,0.00000
f,80  Speed limit. ,a,326.18,46,55,64,72,80,0,0,0,0,0.00000,0.00000
m,Diagrammatic sign:  Traffic movement effected by obstruction. Control. Dot on pole and road.,v,328.66,46,55,64,72,100,0,0,0,0,27.87755,29.96390
m,Diagramatic sign:  Warning - Reduced visibility.  No overtaking.  Dot on pole and edge of tar.,v,333.64,46,55,64,72,100,0,0,0,0,27.83287,29.96053
u, Warning - Side road junction{ right}.  Beware of bupy road.,a,335.25,40,48,57,66,100,0,0,0,0,0.00000,0.00000
m,"Control @ 50,4 km plate - opposite die Padstal. Dot on pole and yellow line.",v,337.50,40,48,57,66,80,0,0,0,0,27.79891,29.95626
l,Newcastle. START OPEN SECTION.,a,338.56,35,40,45,50,80,0,0,0,0,0.00000,0.00000
o,"Allen street.{ Right} [Centre]Newcastle, (R34) Vrede.",a,339.02,30,30,30,30,80,0,0,0,0,0.00000,0.00000
o,Bear Left to Newcastle.,a,339.19,30,30,30,30,80,0,0,0,0,0.00000,0.00000
o,Yield Join Allen street,a,339.29,30,30,30,30,80,0,0,0,0,0.00000,0.00000
o,Traffic Light.  Carry straight on.,a,339.81,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Traffic light Carry straight on.,a,340.06,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Traffic light Carry straight on.,a,340.38,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o, Warning - Gentle curve {Left}. Move to right hand Lane.,a,341.06,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Traffic light. Turn RIGHT into Albert Wessels Dr { BMW on Left.},a,341.42,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Bear Left Before Traffic light.,a,341.81,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Yield.  Turn LEFT (this is Hardwick).,a,341.83,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Traffic light. Carry straight on through 3 more traffic lights.,a,342.70,30,30,30,30,60,0,0,0,0,0.00000,0.00000
o,Traffic light. Carry straight on.,a,344.59,20,20,20,20,60,0,0,0,0,0.00000,0.00000
o,Traffic Light. Carry straight on.,a,344.73,20,20,20,20,60,0,0,0,0,0.00000,0.00000
o,Turn LEFT into Majuba Lodge.,a,344.86,20,20,20,20,60,0,0,0,0,0.00000,0.00000
o,Gate.  Bear LEFT.,a,344.88,20,20,20,20,60,0,0,0,0,0.00000,0.00000
o,FINAL OPEN CONTROL.  STOP under Reception Portal of Majuba Lodge. Continue and Park. You have 10 Minutes to hand in your Logger to the scorer.,a,344.90,0,0,0,0,60,0,0,0,0,0.00000,0.00000
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
