"No","Instruction","Type","Distance","A_Speed","B_Speed","C_Speed","D_Speed","Limit","AddTime_A","AddTime_B","AddTime_C","AddTime_D","Lat","Long"
0,"R23 Brakpan , Benoni / R103 Alberton.","a",248.34,35,40,45,50,60,0,0,0,0,0,0
0,"R23 Brakpan 28 , Benoni 31,  START of REGULARATY","a",248.61,48,56,64,70,60,0,0,0,0,0,0
0,"Control @ Warning - Cross road. Mark on road. Dot on pole.","v",252.15,48,56,64,70,100,0,0,0,0,26.43277,28.35201
0,"Control @ In Line with Start of Nulane office & Warehouse gate on Right.  Markon road.","v",256.5,48,56,64,70,80,0,0,0,0,26.39443,28.34682
0,"R23 Brakpan , Benoni /R550 Nigel /R550 Klipriver.   START of OPEN SECTION.","a",256.9,30,30,30,30,80,0,0,0,0,0,0
0,"STOP carry straight on through 2 mor STOP streets.   Please treat all non-functioning Traffic lights as STOP streets.","a",257.1,35,40,45,50,80,0,0,0,0,0,0
0,"Traffic light.  Carry straight on.","a",270.56,35,40,45,50,80,0,0,0,0,0,0
0,"STOP (Was Traffic light)  carry straight on.","a",271.84,35,40,45,50,80,0,0,0,0,0,0
0,"Traffic light  carry straight on through 2 more traffic lights..","a",272.48,35,40,45,50,80,0,0,0,0,0,0
0,"STOP.  (Was a Traffic Light.)  Carry straight on.","a",274.65,35,40,45,50,80,0,0,0,0,0,0
0,"STOP.  Carry straight on .","a",275.86,35,40,45,50,80,0,0,0,0,0,0
0,"Traffic light.  Carry straight on.","a",277.72,35,40,45,50,80,0,0,0,0,0,0
0,"Traffic light.  Carry straight on.","a",278.34,35,40,45,50,80,0,0,0,0,0,0
0,"Traffic light.  Carry straight on.","a",278.98,35,40,45,50,80,0,0,0,0,0,0
0,"Traffic Light.","a",279.63,30,30,30,30,80,0,0,0,0,0,0
0,"Traffic Light.  Carry straight on through 1 more traffic light.","a",280.16,30,30,30,30,80,0,0,0,0,0,0
0,"Traffic Light.  Carry straight on through 2 more traffic lights.  Keep to centre of Road","a",281.46,30,30,30,30,80,0,0,0,0,0,0
0,"Traffic Light.  Carry straight on through 2 more traffic lights.  Move to centre lane.","a",281.98,30,30,30,30,80,0,0,0,0,0,0
0,"Prohibition - Right turn ahead prohibited.","a",283.75,20,20,20,20,60,0,0,0,0,0,0
0,"Traffic light.  Turn LEFT on Miles Sharp street.","a",284.05,30,30,30,30,60,0,0,0,0,0,0
0,"STOP.  Carry straight on,  on Miles Sharp street.","a",284.27,30,30,30,30,60,0,0,0,0,0,0
0,"Y-Junction. Turn RIGHT on Milburn street.","a",284.54,20,20,20,20,60,0,0,0,0,0,0
0,"Warning. Speed Bumps","a",284.82,30,30,30,30,60,0,0,0,0,0,0
0,"STOP.  Turn LEFT on Brodigan Ave.","a",285.27,30,30,30,30,60,0,0,0,0,0,0
0,"Traffic Light.  Carry straight on.  Prepare to turn Left.","a",286.05,30,30,30,30,60,0,0,0,0,0,0
0,"Turn LEFT into Benoni Northerns Sports Club.  Carry Straight on through Treed Lane.  Beware of Speed bumps.","a",286.29,20,20,20,20,60,0,0,0,0,0,0
0,"Turn LEFT  at end of sports field on left.","a",286.49,20,20,20,20,60,0,0,0,0,0,0
0,"Turn LEFT onto sports field and immediately Turn LEFT to follow edge of Sports Field.","a",286.56,20,20,20,20,60,0,0,0,0,0,0
0,"Turn RIGHT to follow edge of sports field.","a",286.62,20,20,20,20,60,0,0,0,0,0,0
0,"STOP.  Final Open Control","a",286.69,0,0,0,0,60,0,0,0,0,0,0
